<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20240321,115200,116200,114600,116200,3757800
FPT,20240320,112300,115000,111100,114500,3475700
FPT,20240319,113000,113000,111100,112000,3315400
FPT,20240318,115800,115800,111100,113000,5884600
FPT,20240315,116800,116800,114500,116000,3838400
FPT,20240314,118500,118500,115700,117000,3463000
FPT,20240313,112800,117000,112000,117000,5112600
FPT,20240312,110000,113500,110000,111900,2907800
FPT,20240311,110000,113500,110000,110000,3381500
FPT,20240308,111300,112600,109900,110000,3115600
FPT,20240307,109100,113900,108200,111300,4037600
FPT,20240306,110000,110400,108400,109100,3702600
FPT,20240305,111400,111400,109900,110700,3383000
FPT,20240304,111000,111800,110800,111400,3087100
FPT,20240301,109200,111400,109100,110800,4019400
FPT,20240229,108200,109400,107700,109000,2824800
FPT,20240228,108000,108500,106300,108500,3461700
FPT,20240227,108500,109500,107400,107900,2800800
FPT,20240226,103900,108000,103500,108000,4466700
FPT,20240223,105500,106700,103300,103900,4103500
FPT,20240222,105900,106000,104600,104600,1718700
FPT,20240221,104000,106900,103500,105900,3137500
FPT,20240220,105200,105200,104000,104300,1844300
FPT,20240219,105500,107000,105000,105000,2031800
FPT,20240216,104000,105100,103800,105100,2066000
FPT,20240215,105200,105500,103800,104000,2248400
FPT,20240207,104700,105000,103900,104900,2125400
FPT,20240206,103600,105000,102900,104100,1884300
FPT,20240205,102000,104100,101900,103500,2694400
FPT,20240202,100200,102200,100100,102000,2876100
FPT,20240201,95900,99900,95700,99900,7793700
FPT,20240131,95600,96000,95500,95700,1381500
FPT,20240130,95900,95900,95400,95600,949000
FPT,20240129,95900,96100,95300,95900,1060700
FPT,20240126,95500,96200,95300,95900,925400
FPT,20240125,95100,95700,94800,95100,845100
FPT,20240124,95800,95800,94900,95000,1722100
FPT,20240123,96100,96400,95400,95600,1480400
FPT,20240122,96800,96800,95800,96400,1108000
FPT,20240119,96000,96900,95700,96300,1493200
FPT,20240118,95700,96000,95200,95600,1136900
FPT,20240117,95600,96000,95000,95700,1414000
FPT,20240116,94700,95700,94700,95700,810000
FPT,20240115,95000,95900,94900,95400,1312200
FPT,20240112,94800,95600,94100,94700,2597000
FPT,20240111,94700,95400,94700,95000,1370900
FPT,20240110,96700,96900,94500,94700,3302500
FPT,20240109,97300,97300,96600,96600,1211700
FPT,20240108,97400,98300,97100,97300,1443000
FPT,20240105,97300,97500,96500,97400,1138600
FPT,20240104,96300,98400,96200,97200,2973900
FPT,20240103,95600,96500,95400,96300,1436900
FPT,20240102,96900,96900,95700,95900,1714500
FPT,20231229,96600,97000,96100,96100,1866600
FPT,20231228,97000,97000,96300,96600,1196600
FPT,20231227,97400,97800,96900,96900,1355900
FPT,20231226,96500,98600,96400,97200,3359900
FPT,20231225,94900,96200,94800,96000,2017000
FPT,20231222,95000,95100,94400,94600,1275400
FPT,20231221,94600,95100,94000,95100,1756800
FPT,20231220,94300,95000,94100,94700,1349500
FPT,20231219,93900,94600,93600,94600,1250400
FPT,20231218,95900,96200,93700,94000,2266500
FPT,20231215,96200,96300,95000,96200,1474300
FPT,20231214,95800,96400,95200,96200,1712300
FPT,20231213,97400,97400,95200,95200,2148100
FPT,20231212,95400,96800,95300,96800,4084900
FPT,20231211,95500,95700,94600,95000,1564500
FPT,20231208,94300,95100,93500,94200,1745800
FPT,20231207,95100,95300,92800,94300,3761200
FPT,20231206,95000,95400,94100,95000,1220700
FPT,20231205,93800,95800,93700,94800,3590200
FPT,20231204,92600,94000,92600,93600,3462300
FPT,20231201,92200,92900,91300,92400,1190800
FPT,20231130,91400,93700,91300,91900,1982400
FPT,20231129,91600,92000,91100,91700,801500
FPT,20231128,90800,91900,89900,91100,1090700
FPT,20231127,91400,91400,90100,90700,1659500
FPT,20231124,90800,92000,90200,91200,2248500
FPT,20231123,93300,93700,90800,90800,2165700
FPT,20231122,91900,93100,91900,93000,3271700
FPT,20231121,92000,92000,90700,91900,1460700
FPT,20231120,90100,92600,89100,90700,1656500
FPT,20231117,93400,93500,90600,91000,3567900
FPT,20231116,92200,93000,91600,93000,1906300
FPT,20231115,93700,93800,92000,92400,2417600
FPT,20231114,92000,93400,91300,92600,1997800
FPT,20231113,91600,92000,90500,91400,1532100
FPT,20231110,91500,92700,91300,91500,2406500
FPT,20231109,92000,93300,91800,92500,2110200
FPT,20231108,88200,92600,88000,92600,2943200
FPT,20231107,88500,88800,87900,88300,1340200
FPT,20231106,88200,88900,87800,88500,1210100
FPT,20231103,89000,89200,87000,87000,4842300
FPT,20231102,86400,89000,85900,89000,2204000
