date,open,highest,lowest,close,change,change_percentage,volume
28/12/2006,6743.0,7110.0,6743.0,6990.0,248.0,3.67,106000
27/12/2006,6651.0,6798.0,6651.0,6756.0,106.0,1.59,63900
26/12/2006,6467.0,6651.0,6422.0,6495.0,28.0,0.43,34000
25/12/2006,6339.0,6513.0,6192.0,6422.0,83.0,1.3,48400
22/12/2006,6422.0,6422.0,6192.0,6339.0,-83.0,-1.29,41000
21/12/2006,6605.0,6651.0,6467.0,6605.0,0.0,0.0,44600
20/12/2006,6605.0,6651.0,6596.0,6628.0,23.0,0.35,57400
19/12/2006,6651.0,6651.0,6559.0,6591.0,-60.0,-0.9,37400
18/12/2006,6605.0,6697.0,6555.0,6633.0,28.0,0.42,70400
15/12/2006,6513.0,6651.0,6445.0,6559.0,46.0,0.7,56800
14/12/2006,6422.0,6555.0,6376.0,6454.0,32.0,0.5,45600
13/12/2006,6422.0,6559.0,6238.0,6403.0,-18.0,-0.29,70500
12/12/2006,6192.0,7247.0,6192.0,6371.0,179.0,2.89,29000
11/12/2006,7064.0,7064.0,6467.0,6614.0,-450.0,-6.36,67600
08/12/2006,6651.0,6651.0,6238.0,6467.0,-183.0,-2.76,48500
07/12/2006,5734.0,6169.0,5734.0,6169.0,436.0,7.6,24200
06/12/2006,5504.0,5779.0,5504.0,5610.0,106.0,1.92,81800
05/12/2006,5779.0,5779.0,5504.0,5605.0,-174.0,-3.02,111400
04/12/2006,6009.0,6009.0,5734.0,5821.0,-188.0,-3.13,89500
01/12/2006,6101.0,6101.0,5963.0,6009.0,-92.0,-1.5,59300
30/11/2006,6055.0,6192.0,5917.0,6032.0,-23.0,-0.38,66200
29/11/2006,6422.0,6513.0,6101.0,6325.0,-96.0,-1.5,30900
28/11/2006,6880.0,6880.0,6422.0,6568.0,-312.0,-4.53,19800
27/11/2006,6734.0,7403.0,6192.0,6734.0,0.0,0.0,42400
24/11/2006,6422.0,6972.0,6422.0,6734.0,312.0,4.86,63600
23/11/2006,6651.0,6651.0,5963.0,6348.0,-303.0,-4.55,69900
22/11/2006,6568.0,6568.0,5963.0,6179.0,-390.0,-5.94,62300
21/11/2006,5504.0,6880.0,5458.0,5972.0,468.0,8.5,56500
28/12/2006,6743.0,7110.0,6743.0,6990.0,248.0,3.67,106000
27/12/2006,6651.0,6798.0,6651.0,6756.0,106.0,1.59,63900
26/12/2006,6467.0,6651.0,6422.0,6495.0,28.0,0.43,34000
25/12/2006,6339.0,6513.0,6192.0,6422.0,83.0,1.3,48400
22/12/2006,6422.0,6422.0,6192.0,6339.0,-83.0,-1.29,41000
21/12/2006,6605.0,6651.0,6467.0,6605.0,0.0,0.0,44600
20/12/2006,6605.0,6651.0,6596.0,6628.0,23.0,0.35,57400
19/12/2006,6651.0,6651.0,6559.0,6591.0,-60.0,-0.9,37400
18/12/2006,6605.0,6697.0,6555.0,6633.0,28.0,0.42,70400
15/12/2006,6513.0,6651.0,6445.0,6559.0,46.0,0.7,56800
14/12/2006,6422.0,6555.0,6376.0,6454.0,32.0,0.5,45600
13/12/2006,6422.0,6559.0,6238.0,6403.0,-18.0,-0.29,70500
12/12/2006,6192.0,7247.0,6192.0,6371.0,179.0,2.89,29000
11/12/2006,7064.0,7064.0,6467.0,6614.0,-450.0,-6.36,67600
08/12/2006,6651.0,6651.0,6238.0,6467.0,-183.0,-2.76,48500
07/12/2006,5734.0,6169.0,5734.0,6169.0,436.0,7.6,24200
06/12/2006,5504.0,5779.0,5504.0,5610.0,106.0,1.92,81800
05/12/2006,5779.0,5779.0,5504.0,5605.0,-174.0,-3.02,111400
04/12/2006,6009.0,6009.0,5734.0,5821.0,-188.0,-3.13,89500
01/12/2006,6101.0,6101.0,5963.0,6009.0,-92.0,-1.5,59300
30/11/2006,6055.0,6192.0,5917.0,6032.0,-23.0,-0.38,66200
29/11/2006,6422.0,6513.0,6101.0,6325.0,-96.0,-1.5,30900
28/11/2006,6880.0,6880.0,6422.0,6568.0,-312.0,-4.53,19800
27/11/2006,6734.0,7403.0,6192.0,6734.0,0.0,0.0,42400
24/11/2006,6422.0,6972.0,6422.0,6734.0,312.0,4.86,63600
23/11/2006,6651.0,6651.0,5963.0,6348.0,-303.0,-4.55,69900
22/11/2006,6568.0,6568.0,5963.0,6179.0,-390.0,-5.94,62300
21/11/2006,5504.0,6880.0,5458.0,5972.0,468.0,8.5,56500
28/12/2006,6743.0,7110.0,6743.0,6990.0,248.0,3.67,106000
27/12/2006,6651.0,6798.0,6651.0,6756.0,106.0,1.59,63900
26/12/2006,6467.0,6651.0,6422.0,6495.0,28.0,0.43,34000
25/12/2006,6339.0,6513.0,6192.0,6422.0,83.0,1.3,48400
22/12/2006,6422.0,6422.0,6192.0,6339.0,-83.0,-1.29,41000
21/12/2006,6605.0,6651.0,6467.0,6605.0,0.0,0.0,44600
20/12/2006,6605.0,6651.0,6596.0,6628.0,23.0,0.35,57400
19/12/2006,6651.0,6651.0,6559.0,6591.0,-60.0,-0.9,37400
18/12/2006,6605.0,6697.0,6555.0,6633.0,28.0,0.42,70400
15/12/2006,6513.0,6651.0,6445.0,6559.0,46.0,0.7,56800
14/12/2006,6422.0,6555.0,6376.0,6454.0,32.0,0.5,45600
13/12/2006,6422.0,6559.0,6238.0,6403.0,-18.0,-0.29,70500
12/12/2006,6192.0,7247.0,6192.0,6371.0,179.0,2.89,29000
11/12/2006,7064.0,7064.0,6467.0,6614.0,-450.0,-6.36,67600
08/12/2006,6651.0,6651.0,6238.0,6467.0,-183.0,-2.76,48500
07/12/2006,5734.0,6169.0,5734.0,6169.0,436.0,7.6,24200
06/12/2006,5504.0,5779.0,5504.0,5610.0,106.0,1.92,81800
05/12/2006,5779.0,5779.0,5504.0,5605.0,-174.0,-3.02,111400
04/12/2006,6009.0,6009.0,5734.0,5821.0,-188.0,-3.13,89500
01/12/2006,6101.0,6101.0,5963.0,6009.0,-92.0,-1.5,59300
30/11/2006,6055.0,6192.0,5917.0,6032.0,-23.0,-0.38,66200
29/11/2006,6422.0,6513.0,6101.0,6325.0,-96.0,-1.5,30900
28/11/2006,6880.0,6880.0,6422.0,6568.0,-312.0,-4.53,19800
27/11/2006,6734.0,7403.0,6192.0,6734.0,0.0,0.0,42400
24/11/2006,6422.0,6972.0,6422.0,6734.0,312.0,4.86,63600
23/11/2006,6651.0,6651.0,5963.0,6348.0,-303.0,-4.55,69900
22/11/2006,6568.0,6568.0,5963.0,6179.0,-390.0,-5.94,62300
21/11/2006,5504.0,6880.0,5458.0,5972.0,468.0,8.5,56500
28/12/2006,6743.0,7110.0,6743.0,6990.0,248.0,3.67,106000
27/12/2006,6651.0,6798.0,6651.0,6756.0,106.0,1.59,63900
26/12/2006,6467.0,6651.0,6422.0,6495.0,28.0,0.43,34000
25/12/2006,6339.0,6513.0,6192.0,6422.0,83.0,1.3,48400
22/12/2006,6422.0,6422.0,6192.0,6339.0,-83.0,-1.29,41000
21/12/2006,6605.0,6651.0,6467.0,6605.0,0.0,0.0,44600
20/12/2006,6605.0,6651.0,6596.0,6628.0,23.0,0.35,57400
19/12/2006,6651.0,6651.0,6559.0,6591.0,-60.0,-0.9,37400
18/12/2006,6605.0,6697.0,6555.0,6633.0,28.0,0.42,70400
15/12/2006,6513.0,6651.0,6445.0,6559.0,46.0,0.7,56800
14/12/2006,6422.0,6555.0,6376.0,6454.0,32.0,0.5,45600
13/12/2006,6422.0,6559.0,6238.0,6403.0,-18.0,-0.29,70500
12/12/2006,6192.0,7247.0,6192.0,6371.0,179.0,2.89,29000
11/12/2006,7064.0,7064.0,6467.0,6614.0,-450.0,-6.36,67600
08/12/2006,6651.0,6651.0,6238.0,6467.0,-183.0,-2.76,48500
07/12/2006,5734.0,6169.0,5734.0,6169.0,436.0,7.6,24200
06/12/2006,5504.0,5779.0,5504.0,5610.0,106.0,1.92,81800
05/12/2006,5779.0,5779.0,5504.0,5605.0,-174.0,-3.02,111400
04/12/2006,6009.0,6009.0,5734.0,5821.0,-188.0,-3.13,89500
01/12/2006,6101.0,6101.0,5963.0,6009.0,-92.0,-1.5,59300
30/11/2006,6055.0,6192.0,5917.0,6032.0,-23.0,-0.38,66200
29/11/2006,6422.0,6513.0,6101.0,6325.0,-96.0,-1.5,30900
28/11/2006,6880.0,6880.0,6422.0,6568.0,-312.0,-4.53,19800
27/11/2006,6734.0,7403.0,6192.0,6734.0,0.0,0.0,42400
24/11/2006,6422.0,6972.0,6422.0,6734.0,312.0,4.86,63600
23/11/2006,6651.0,6651.0,5963.0,6348.0,-303.0,-4.55,69900
22/11/2006,6568.0,6568.0,5963.0,6179.0,-390.0,-5.94,62300
21/11/2006,5504.0,6880.0,5458.0,5972.0,468.0,8.5,56500
28/12/2006,6743.0,7110.0,6743.0,6990.0,248.0,3.67,106000
27/12/2006,6651.0,6798.0,6651.0,6756.0,106.0,1.59,63900
26/12/2006,6467.0,6651.0,6422.0,6495.0,28.0,0.43,34000
25/12/2006,6339.0,6513.0,6192.0,6422.0,83.0,1.3,48400
22/12/2006,6422.0,6422.0,6192.0,6339.0,-83.0,-1.29,41000
21/12/2006,6605.0,6651.0,6467.0,6605.0,0.0,0.0,44600
20/12/2006,6605.0,6651.0,6596.0,6628.0,23.0,0.35,57400
19/12/2006,6651.0,6651.0,6559.0,6591.0,-60.0,-0.9,37400
18/12/2006,6605.0,6697.0,6555.0,6633.0,28.0,0.42,70400
15/12/2006,6513.0,6651.0,6445.0,6559.0,46.0,0.7,56800
14/12/2006,6422.0,6555.0,6376.0,6454.0,32.0,0.5,45600
13/12/2006,6422.0,6559.0,6238.0,6403.0,-18.0,-0.29,70500
12/12/2006,6192.0,7247.0,6192.0,6371.0,179.0,2.89,29000
11/12/2006,7064.0,7064.0,6467.0,6614.0,-450.0,-6.36,67600
08/12/2006,6651.0,6651.0,6238.0,6467.0,-183.0,-2.76,48500
07/12/2006,5734.0,6169.0,5734.0,6169.0,436.0,7.6,24200
06/12/2006,5504.0,5779.0,5504.0,5610.0,106.0,1.92,81800
05/12/2006,5779.0,5779.0,5504.0,5605.0,-174.0,-3.02,111400
04/12/2006,6009.0,6009.0,5734.0,5821.0,-188.0,-3.13,89500
01/12/2006,6101.0,6101.0,5963.0,6009.0,-92.0,-1.5,59300
30/11/2006,6055.0,6192.0,5917.0,6032.0,-23.0,-0.38,66200
29/11/2006,6422.0,6513.0,6101.0,6325.0,-96.0,-1.5,30900
28/11/2006,6880.0,6880.0,6422.0,6568.0,-312.0,-4.53,19800
27/11/2006,6734.0,7403.0,6192.0,6734.0,0.0,0.0,42400
24/11/2006,6422.0,6972.0,6422.0,6734.0,312.0,4.86,63600
23/11/2006,6651.0,6651.0,5963.0,6348.0,-303.0,-4.55,69900
22/11/2006,6568.0,6568.0,5963.0,6179.0,-390.0,-5.94,62300
21/11/2006,5504.0,6880.0,5458.0,5972.0,468.0,8.5,56500
21/03/2024,27700.0,28000.0,27550.0,28000.0,500.0,1.82,12818200
20/03/2024,26850.0,27700.0,26800.0,27500.0,650.0,2.42,14002400
19/03/2024,26800.0,27050.0,26750.0,26850.0,-50.0,-0.19,7121300
18/03/2024,27200.0,27350.0,26700.0,26900.0,-450.0,-1.65,14119300
15/03/2024,27250.0,27400.0,27000.0,27350.0,100.0,0.37,7822800
14/03/2024,27600.0,27600.0,27050.0,27250.0,-400.0,-1.45,8224300
13/03/2024,26750.0,27650.0,26750.0,27650.0,900.0,3.36,8934300
12/03/2024,26650.0,26850.0,26600.0,26750.0,0.0,0.0,8312600
11/03/2024,27050.0,27100.0,26650.0,26750.0,-300.0,-1.11,12015800
08/03/2024,27500.0,27650.0,27000.0,27050.0,-450.0,-1.64,23017000
07/03/2024,27600.0,27700.0,27400.0,27500.0,-100.0,-0.36,10165800
06/03/2024,28000.0,28150.0,27550.0,27600.0,-350.0,-1.25,9791600
05/03/2024,27800.0,28000.0,27550.0,27950.0,150.0,0.54,6332600
04/03/2024,27800.0,28200.0,27400.0,27800.0,0.0,0.0,13216500
01/03/2024,28000.0,28000.0,27550.0,27800.0,-200.0,-0.71,10193800
29/02/2024,28100.0,28250.0,27700.0,28000.0,0.0,0.0,9951400
28/02/2024,27650.0,28000.0,27550.0,28000.0,400.0,1.45,10460800
27/02/2024,27700.0,27700.0,27350.0,27600.0,100.0,0.36,12054800
26/02/2024,27300.0,27700.0,27100.0,27500.0,200.0,0.73,9785600
23/02/2024,27700.0,28400.0,27300.0,27300.0,-350.0,-1.27,25975600
22/02/2024,27700.0,27750.0,27500.0,27650.0,-50.0,-0.18,7401800
21/02/2024,27500.0,27900.0,27400.0,27700.0,150.0,0.54,10251900
20/02/2024,27500.0,27750.0,27350.0,27550.0,-150.0,-0.54,7316400
19/02/2024,27700.0,27700.0,27200.0,27700.0,100.0,0.36,11856900
16/02/2024,27500.0,27600.0,27300.0,27600.0,400.0,1.47,9495400
15/02/2024,28050.0,28400.0,27200.0,27200.0,-800.0,-2.86,14244300
07/02/2024,27850.0,28200.0,27850.0,28000.0,150.0,0.54,11893900
06/02/2024,27850.0,27900.0,27650.0,27850.0,50.0,0.18,5447300
05/02/2024,26250.0,28000.0,26150.0,27800.0,1550.0,5.9,28121400
02/02/2024,25950.0,26300.0,25850.0,26250.0,250.0,0.96,14529200
21/03/2024,27700.0,28000.0,27550.0,28000.0,500.0,1.82,12818200
20/03/2024,26850.0,27700.0,26800.0,27500.0,650.0,2.42,14002400
19/03/2024,26800.0,27050.0,26750.0,26850.0,-50.0,-0.19,7121300
18/03/2024,27200.0,27350.0,26700.0,26900.0,-450.0,-1.65,14119300
15/03/2024,27250.0,27400.0,27000.0,27350.0,100.0,0.37,7822800
14/03/2024,27600.0,27600.0,27050.0,27250.0,-400.0,-1.45,8224300
13/03/2024,26750.0,27650.0,26750.0,27650.0,900.0,3.36,8934300
12/03/2024,26650.0,26850.0,26600.0,26750.0,0.0,0.0,8312600
11/03/2024,27050.0,27100.0,26650.0,26750.0,-300.0,-1.11,12015800
08/03/2024,27500.0,27650.0,27000.0,27050.0,-450.0,-1.64,23017000
07/03/2024,27600.0,27700.0,27400.0,27500.0,-100.0,-0.36,10165800
06/03/2024,28000.0,28150.0,27550.0,27600.0,-350.0,-1.25,9791600
05/03/2024,27800.0,28000.0,27550.0,27950.0,150.0,0.54,6332600
04/03/2024,27800.0,28200.0,27400.0,27800.0,0.0,0.0,13216500
01/03/2024,28000.0,28000.0,27550.0,27800.0,-200.0,-0.71,10193800
29/02/2024,28100.0,28250.0,27700.0,28000.0,0.0,0.0,9951400
28/02/2024,27650.0,28000.0,27550.0,28000.0,400.0,1.45,10460800
27/02/2024,27700.0,27700.0,27350.0,27600.0,100.0,0.36,12054800
26/02/2024,27300.0,27700.0,27100.0,27500.0,200.0,0.73,9785600
23/02/2024,27700.0,28400.0,27300.0,27300.0,-350.0,-1.27,25975600
22/02/2024,27700.0,27750.0,27500.0,27650.0,-50.0,-0.18,7401800
21/02/2024,27500.0,27900.0,27400.0,27700.0,150.0,0.54,10251900
20/02/2024,27500.0,27750.0,27350.0,27550.0,-150.0,-0.54,7316400
19/02/2024,27700.0,27700.0,27200.0,27700.0,100.0,0.36,11856900
16/02/2024,27500.0,27600.0,27300.0,27600.0,400.0,1.47,9495400
15/02/2024,28050.0,28400.0,27200.0,27200.0,-800.0,-2.86,14244300
07/02/2024,27850.0,28200.0,27850.0,28000.0,150.0,0.54,11893900
06/02/2024,27850.0,27900.0,27650.0,27850.0,50.0,0.18,5447300
05/02/2024,26250.0,28000.0,26150.0,27800.0,1550.0,5.9,28121400
02/02/2024,25950.0,26300.0,25850.0,26250.0,250.0,0.96,14529200
01/02/2024,25700.0,26100.0,25700.0,26000.0,250.0,0.97,6281100
31/01/2024,26100.0,26100.0,25550.0,25750.0,-200.0,-0.77,12158100
30/01/2024,26050.0,26200.0,25900.0,25950.0,0.0,0.0,6379000
29/01/2024,26500.0,26500.0,25950.0,25950.0,-350.0,-1.33,9276600
26/01/2024,25850.0,26400.0,25850.0,26300.0,500.0,1.94,6856000
25/01/2024,25850.0,25900.0,25600.0,25800.0,0.0,0.0,5086300
