date,open,highest,lowest,close,change,change_percentage,volume
21/03/2024,34600.0,34900.0,34050.0,34900.0,550.0,1.6,9087700
20/03/2024,33200.0,34500.0,33000.0,34350.0,1050.0,3.15,9484900
19/03/2024,33400.0,33800.0,32950.0,33300.0,0.0,0.0,7149600
18/03/2024,34750.0,35000.0,32350.0,33300.0,-1450.0,-4.17,11387200
15/03/2024,34400.0,35400.0,33950.0,34750.0,300.0,0.87,9586500
14/03/2024,35200.0,35200.0,34200.0,34450.0,-700.0,-1.99,7010100
13/03/2024,34600.0,35150.0,34200.0,35150.0,650.0,1.88,6130500
12/03/2024,34000.0,34600.0,33950.0,34500.0,350.0,1.02,6760600
11/03/2024,34500.0,34750.0,33900.0,34150.0,-350.0,-1.01,7842600
08/03/2024,35800.0,35850.0,34500.0,34500.0,-1300.0,-3.63,20828300
07/03/2024,36000.0,36050.0,35450.0,35800.0,-300.0,-0.83,8882900
06/03/2024,36400.0,36950.0,35650.0,36100.0,-350.0,-0.96,11114900
05/03/2024,36000.0,36450.0,35750.0,36450.0,450.0,1.25,7378300
04/03/2024,35600.0,36900.0,35150.0,36000.0,400.0,1.12,17569600
01/03/2024,35700.0,35700.0,35000.0,35600.0,50.0,0.14,9179700
29/02/2024,36200.0,36300.0,35200.0,35550.0,-400.0,-1.11,12798100
28/02/2024,36400.0,36450.0,35650.0,35950.0,-200.0,-0.55,9809600
27/02/2024,35700.0,36300.0,35450.0,36150.0,500.0,1.4,9066000
26/02/2024,35200.0,35850.0,35100.0,35650.0,450.0,1.28,6391800
23/02/2024,35800.0,37150.0,35000.0,35200.0,-500.0,-1.4,25763100
22/02/2024,35700.0,35750.0,35250.0,35700.0,150.0,0.42,7056000
21/02/2024,35250.0,36200.0,35050.0,35550.0,350.0,0.99,10391600
20/02/2024,35300.0,35600.0,34700.0,35200.0,-200.0,-0.56,6832100
19/02/2024,35100.0,35500.0,34500.0,35400.0,150.0,0.43,10677500
16/02/2024,35300.0,35300.0,34650.0,35250.0,250.0,0.71,7504900
15/02/2024,35600.0,35800.0,35000.0,35000.0,-500.0,-1.41,8849700
07/02/2024,34400.0,36300.0,34400.0,35500.0,1100.0,3.2,13534000
06/02/2024,34000.0,34450.0,33850.0,34400.0,500.0,1.47,8645600
05/02/2024,31750.0,33900.0,31750.0,33900.0,2200.0,6.94,21679700
02/02/2024,32000.0,32150.0,31550.0,31700.0,-350.0,-1.09,4536600
21/03/2024,34600.0,34900.0,34050.0,34900.0,550.0,1.6,9087700
20/03/2024,33200.0,34500.0,33000.0,34350.0,1050.0,3.15,9484900
19/03/2024,33400.0,33800.0,32950.0,33300.0,0.0,0.0,7149600
18/03/2024,34750.0,35000.0,32350.0,33300.0,-1450.0,-4.17,11387200
15/03/2024,34400.0,35400.0,33950.0,34750.0,300.0,0.87,9586500
14/03/2024,35200.0,35200.0,34200.0,34450.0,-700.0,-1.99,7010100
13/03/2024,34600.0,35150.0,34200.0,35150.0,650.0,1.88,6130500
12/03/2024,34000.0,34600.0,33950.0,34500.0,350.0,1.02,6760600
11/03/2024,34500.0,34750.0,33900.0,34150.0,-350.0,-1.01,7842600
08/03/2024,35800.0,35850.0,34500.0,34500.0,-1300.0,-3.63,20828300
07/03/2024,36000.0,36050.0,35450.0,35800.0,-300.0,-0.83,8882900
06/03/2024,36400.0,36950.0,35650.0,36100.0,-350.0,-0.96,11114900
05/03/2024,36000.0,36450.0,35750.0,36450.0,450.0,1.25,7378300
04/03/2024,35600.0,36900.0,35150.0,36000.0,400.0,1.12,17569600
01/03/2024,35700.0,35700.0,35000.0,35600.0,50.0,0.14,9179700
29/02/2024,36200.0,36300.0,35200.0,35550.0,-400.0,-1.11,12798100
28/02/2024,36400.0,36450.0,35650.0,35950.0,-200.0,-0.55,9809600
27/02/2024,35700.0,36300.0,35450.0,36150.0,500.0,1.4,9066000
26/02/2024,35200.0,35850.0,35100.0,35650.0,450.0,1.28,6391800
23/02/2024,35800.0,37150.0,35000.0,35200.0,-500.0,-1.4,25763100
22/02/2024,35700.0,35750.0,35250.0,35700.0,150.0,0.42,7056000
21/02/2024,35250.0,36200.0,35050.0,35550.0,350.0,0.99,10391600
20/02/2024,35300.0,35600.0,34700.0,35200.0,-200.0,-0.56,6832100
19/02/2024,35100.0,35500.0,34500.0,35400.0,150.0,0.43,10677500
16/02/2024,35300.0,35300.0,34650.0,35250.0,250.0,0.71,7504900
15/02/2024,35600.0,35800.0,35000.0,35000.0,-500.0,-1.41,8849700
07/02/2024,34400.0,36300.0,34400.0,35500.0,1100.0,3.2,13534000
06/02/2024,34000.0,34450.0,33850.0,34400.0,500.0,1.47,8645600
05/02/2024,31750.0,33900.0,31750.0,33900.0,2200.0,6.94,21679700
02/02/2024,32000.0,32150.0,31550.0,31700.0,-350.0,-1.09,4536600
01/02/2024,31450.0,32100.0,31450.0,32050.0,450.0,1.42,5126100
