date,open,highest,lowest,close,change,change_percentage,volume
21/03/2024,115200.0,116200.0,114600.0,116200.0,1700.0,1.48,3757800
20/03/2024,112300.0,115000.0,111100.0,114500.0,2500.0,2.23,3475700
19/03/2024,113000.0,113000.0,111100.0,112000.0,-1000.0,-0.88,3315400
18/03/2024,115800.0,115800.0,111100.0,113000.0,-3000.0,-2.59,5884600
15/03/2024,116800.0,116800.0,114500.0,116000.0,-1000.0,-0.85,3838400
14/03/2024,118500.0,118500.0,115700.0,117000.0,0.0,0.0,3463000
13/03/2024,112800.0,117000.0,112000.0,117000.0,5100.0,4.56,5112600
12/03/2024,110000.0,113500.0,110000.0,111900.0,1900.0,1.73,2907800
11/03/2024,110000.0,113500.0,110000.0,110000.0,0.0,0.0,3381500
08/03/2024,111300.0,112600.0,109900.0,110000.0,-1300.0,-1.17,3115600
07/03/2024,109100.0,113900.0,108200.0,111300.0,2200.0,2.02,4037600
06/03/2024,110000.0,110400.0,108400.0,109100.0,-1600.0,-1.45,3702600
05/03/2024,111400.0,111400.0,109900.0,110700.0,-700.0,-0.63,3383000
04/03/2024,111000.0,111800.0,110800.0,111400.0,600.0,0.54,3087100
01/03/2024,109200.0,111400.0,109100.0,110800.0,1800.0,1.65,4019400
29/02/2024,108200.0,109400.0,107700.0,109000.0,500.0,0.46,2824800
28/02/2024,108000.0,108500.0,106300.0,108500.0,600.0,0.56,3461700
27/02/2024,108500.0,109500.0,107400.0,107900.0,-100.0,-0.09,2800800
26/02/2024,103900.0,108000.0,103500.0,108000.0,4100.0,3.95,4466700
23/02/2024,105500.0,106700.0,103300.0,103900.0,-700.0,-0.67,4103500
22/02/2024,105900.0,106000.0,104600.0,104600.0,-1300.0,-1.23,1718700
21/02/2024,104000.0,106900.0,103500.0,105900.0,1600.0,1.53,3137500
20/02/2024,105200.0,105200.0,104000.0,104300.0,-700.0,-0.67,1844300
19/02/2024,105500.0,107000.0,105000.0,105000.0,-100.0,-0.1,2031800
