date,open,highest,lowest,close,change,change_percentage,volume
21/03/2024,24300.0,24750.0,24100.0,24750.0,600.0,2.48,30974800
20/03/2024,23200.0,24400.0,23100.0,24150.0,950.0,4.09,39357200
19/03/2024,23200.0,23350.0,22950.0,23200.0,0.0,0.0,13605300
18/03/2024,23750.0,23800.0,22400.0,23200.0,-600.0,-2.52,31782600
15/03/2024,23450.0,23850.0,23150.0,23800.0,350.0,1.49,18886100
14/03/2024,23950.0,23950.0,23400.0,23450.0,-400.0,-1.68,18358800
13/03/2024,23100.0,23850.0,23100.0,23850.0,750.0,3.25,15209700
12/03/2024,22900.0,23250.0,22750.0,23100.0,150.0,0.65,19120400
11/03/2024,23550.0,23600.0,22800.0,22950.0,-650.0,-2.75,34911300
08/03/2024,24500.0,24500.0,23600.0,23600.0,-800.0,-3.28,49382200
07/03/2024,24700.0,24800.0,24350.0,24400.0,-200.0,-0.81,19759000
06/03/2024,24600.0,25150.0,24350.0,24600.0,0.0,0.0,29870100
05/03/2024,24200.0,24650.0,24100.0,24600.0,400.0,1.65,22768900
04/03/2024,24100.0,24450.0,23750.0,24200.0,200.0,0.83,31949800
01/03/2024,24100.0,24150.0,23800.0,24000.0,-150.0,-0.62,20474600
29/02/2024,24500.0,24550.0,23950.0,24150.0,-250.0,-1.02,24034500
28/02/2024,24350.0,24550.0,24150.0,24400.0,150.0,0.62,19275500
27/02/2024,24050.0,24450.0,23850.0,24250.0,250.0,1.04,22906700
26/02/2024,23900.0,24050.0,23650.0,24000.0,100.0,0.42,21383500
23/02/2024,24000.0,24700.0,23750.0,23900.0,-50.0,-0.21,49051800
22/02/2024,24000.0,24100.0,23850.0,23950.0,-50.0,-0.21,14943900
21/02/2024,23850.0,24200.0,23700.0,24000.0,150.0,0.63,24984200
20/02/2024,23850.0,24100.0,23650.0,23850.0,-100.0,-0.42,20313600
19/02/2024,24000.0,24100.0,23600.0,23950.0,-50.0,-0.21,20952600
16/02/2024,24100.0,24100.0,23700.0,24000.0,-150.0,-0.62,16165200
15/02/2024,23700.0,24200.0,23550.0,24150.0,650.0,2.77,24091300
07/02/2024,23100.0,23700.0,23100.0,23500.0,450.0,1.95,21181800
06/02/2024,23000.0,23150.0,22950.0,23050.0,100.0,0.44,11519300
05/02/2024,21750.0,23150.0,21750.0,22950.0,1200.0,5.52,37093300
02/02/2024,21900.0,22000.0,21750.0,21750.0,-150.0,-0.68,15083600
21/03/2024,24300.0,24750.0,24100.0,24750.0,600.0,2.48,30974800
20/03/2024,23200.0,24400.0,23100.0,24150.0,950.0,4.09,39357200
19/03/2024,23200.0,23350.0,22950.0,23200.0,0.0,0.0,13605300
18/03/2024,23750.0,23800.0,22400.0,23200.0,-600.0,-2.52,31782600
15/03/2024,23450.0,23850.0,23150.0,23800.0,350.0,1.49,18886100
