date,open,highest,lowest,close,change,change_percentage,volume
22/03/2024,48700.0,49400.0,48000.0,48800.0,300.0,0.62,8477000
21/03/2024,48500.0,48950.0,48000.0,48500.0,500.0,1.04,9096600
20/03/2024,45600.0,48650.0,45600.0,48000.0,2500.0,5.49,20639900
19/03/2024,46000.0,46400.0,45350.0,45500.0,-400.0,-0.87,8063800
18/03/2024,47200.0,47950.0,45650.0,45900.0,-1450.0,-3.06,12153200
15/03/2024,47250.0,47700.0,46550.0,47350.0,100.0,0.21,8865700
14/03/2024,48800.0,49000.0,47100.0,47250.0,-1300.0,-2.68,13304100
13/03/2024,46800.0,48700.0,46800.0,48550.0,1800.0,3.85,8929000
12/03/2024,46150.0,47900.0,46050.0,46750.0,350.0,0.75,16650100
11/03/2024,47500.0,48300.0,46250.0,46400.0,-1350.0,-2.83,13804500
08/03/2024,49250.0,49250.0,47000.0,47750.0,-1250.0,-2.55,20599700
07/03/2024,48700.0,49250.0,48150.0,49000.0,300.0,0.62,9439900
06/03/2024,50000.0,50300.0,48300.0,48700.0,-1300.0,-2.6,15082600
05/03/2024,47600.0,50000.0,47500.0,50000.0,2600.0,5.49,22380300
04/03/2024,46600.0,47950.0,46600.0,47400.0,800.0,1.72,16593900
01/03/2024,46550.0,47300.0,46100.0,46600.0,400.0,0.87,15362500
29/02/2024,46400.0,47000.0,46000.0,46200.0,900.0,1.99,13891900
28/02/2024,45000.0,45850.0,44750.0,45300.0,550.0,1.23,13790900
27/02/2024,44700.0,45200.0,44400.0,44750.0,400.0,0.9,9636200
26/02/2024,44000.0,44500.0,43050.0,44350.0,350.0,0.8,13530900
23/02/2024,45300.0,45550.0,43950.0,44000.0,-1300.0,-2.87,17637600
22/02/2024,46300.0,46300.0,45200.0,45300.0,-800.0,-1.74,11202700
21/02/2024,46700.0,46700.0,46000.0,46100.0,-700.0,-1.5,6479800
20/02/2024,46950.0,46950.0,46000.0,46800.0,0.0,0.0,7870400
19/02/2024,46500.0,47200.0,46150.0,46800.0,500.0,1.08,7504700
16/02/2024,46400.0,46600.0,45800.0,46300.0,450.0,0.98,5001500
15/02/2024,46950.0,47000.0,45850.0,45850.0,-750.0,-1.61,9340100
07/02/2024,46950.0,47050.0,46450.0,46600.0,-400.0,-0.85,5707100
06/02/2024,47500.0,47500.0,46800.0,47000.0,-400.0,-0.84,5404000
05/02/2024,47500.0,47600.0,46800.0,47400.0,0.0,0.0,7536900
22/03/2024,48700.0,49400.0,48000.0,48800.0,300.0,0.62,8477000
21/03/2024,48500.0,48950.0,48000.0,48500.0,500.0,1.04,9096600
20/03/2024,45600.0,48650.0,45600.0,48000.0,2500.0,5.49,20639900
19/03/2024,46000.0,46400.0,45350.0,45500.0,-400.0,-0.87,8063800
18/03/2024,47200.0,47950.0,45650.0,45900.0,-1450.0,-3.06,12153200
15/03/2024,47250.0,47700.0,46550.0,47350.0,100.0,0.21,8865700
14/03/2024,48800.0,49000.0,47100.0,47250.0,-1300.0,-2.68,13304100
13/03/2024,46800.0,48700.0,46800.0,48550.0,1800.0,3.85,8929000
12/03/2024,46150.0,47900.0,46050.0,46750.0,350.0,0.75,16650100
11/03/2024,47500.0,48300.0,46250.0,46400.0,-1350.0,-2.83,13804500
08/03/2024,49250.0,49250.0,47000.0,47750.0,-1250.0,-2.55,20599700
07/03/2024,48700.0,49250.0,48150.0,49000.0,300.0,0.62,9439900
06/03/2024,50000.0,50300.0,48300.0,48700.0,-1300.0,-2.6,15082600
05/03/2024,47600.0,50000.0,47500.0,50000.0,2600.0,5.49,22380300
