date,open,highest,lowest,close,change,change_percentage,volume
21/03/2024,16800.0,17100.0,16600.0,17100.0,550.0,3.32,42479800
20/03/2024,16500.0,16650.0,16350.0,16550.0,50.0,0.3,12078500
19/03/2024,16900.0,16900.0,16500.0,16500.0,-200.0,-1.2,9763100
18/03/2024,16500.0,17100.0,16150.0,16700.0,200.0,1.21,36466000
15/03/2024,16450.0,16800.0,16400.0,16500.0,50.0,0.3,19133900
14/03/2024,16650.0,16750.0,16350.0,16450.0,-100.0,-0.6,16135900
13/03/2024,16300.0,16550.0,16250.0,16550.0,400.0,2.48,19820900
12/03/2024,16050.0,16250.0,16000.0,16150.0,100.0,0.62,15269000
11/03/2024,16500.0,16500.0,16000.0,16050.0,-450.0,-2.73,23738300
08/03/2024,16950.0,17050.0,16450.0,16500.0,-400.0,-2.37,34015000
07/03/2024,16800.0,17000.0,16700.0,16900.0,100.0,0.6,19482000
06/03/2024,17200.0,17250.0,16750.0,16800.0,-400.0,-2.33,35805900
05/03/2024,17500.0,17500.0,17100.0,17200.0,-300.0,-1.71,26615300
04/03/2024,17500.0,17700.0,17300.0,17500.0,200.0,1.16,38233100
01/03/2024,17150.0,17400.0,17050.0,17300.0,200.0,1.17,21864700
29/02/2024,17000.0,17300.0,16900.0,17100.0,100.0,0.59,30599600
28/02/2024,17150.0,17200.0,16850.0,17000.0,-50.0,-0.29,14947700
27/02/2024,16950.0,17100.0,16750.0,17050.0,250.0,1.49,22162400
26/02/2024,16800.0,16950.0,16550.0,16800.0,-200.0,-1.18,23431100
23/02/2024,17100.0,17250.0,16600.0,17000.0,-100.0,-0.58,37282700
22/02/2024,17350.0,17400.0,17100.0,17100.0,-250.0,-1.44,22159900
21/02/2024,17700.0,17800.0,17300.0,17350.0,-200.0,-1.14,30965300
20/02/2024,17550.0,17650.0,17300.0,17550.0,0.0,0.0,36292700
19/02/2024,17700.0,17800.0,17400.0,17550.0,-150.0,-0.85,29935800
16/02/2024,17500.0,18000.0,17500.0,17700.0,200.0,1.14,35472400
15/02/2024,17500.0,17650.0,17300.0,17500.0,200.0,1.16,25946900
07/02/2024,17300.0,17450.0,17050.0,17300.0,50.0,0.29,22942400
06/02/2024,17000.0,17500.0,17000.0,17250.0,250.0,1.47,32137100
05/02/2024,17000.0,17100.0,16750.0,17000.0,0.0,0.0,13412900
02/02/2024,16700.0,17350.0,16650.0,17000.0,300.0,1.8,66162600
21/03/2024,16800.0,17100.0,16600.0,17100.0,550.0,3.32,42479800
20/03/2024,16500.0,16650.0,16350.0,16550.0,50.0,0.3,12078500
19/03/2024,16900.0,16900.0,16500.0,16500.0,-200.0,-1.2,9763100
18/03/2024,16500.0,17100.0,16150.0,16700.0,200.0,1.21,36466000
15/03/2024,16450.0,16800.0,16400.0,16500.0,50.0,0.3,19133900
14/03/2024,16650.0,16750.0,16350.0,16450.0,-100.0,-0.6,16135900
13/03/2024,16300.0,16550.0,16250.0,16550.0,400.0,2.48,19820900
12/03/2024,16050.0,16250.0,16000.0,16150.0,100.0,0.62,15269000
11/03/2024,16500.0,16500.0,16000.0,16050.0,-450.0,-2.73,23738300
08/03/2024,16950.0,17050.0,16450.0,16500.0,-400.0,-2.37,34015000
07/03/2024,16800.0,17000.0,16700.0,16900.0,100.0,0.6,19482000
06/03/2024,17200.0,17250.0,16750.0,16800.0,-400.0,-2.33,35805900
05/03/2024,17500.0,17500.0,17100.0,17200.0,-300.0,-1.71,26615300
04/03/2024,17500.0,17700.0,17300.0,17500.0,200.0,1.16,38233100
01/03/2024,17150.0,17400.0,17050.0,17300.0,200.0,1.17,21864700
29/02/2024,17000.0,17300.0,16900.0,17100.0,100.0,0.59,30599600
28/02/2024,17150.0,17200.0,16850.0,17000.0,-50.0,-0.29,14947700
27/02/2024,16950.0,17100.0,16750.0,17050.0,250.0,1.49,22162400
26/02/2024,16800.0,16950.0,16550.0,16800.0,-200.0,-1.18,23431100
23/02/2024,17100.0,17250.0,16600.0,17000.0,-100.0,-0.58,37282700
22/02/2024,17350.0,17400.0,17100.0,17100.0,-250.0,-1.44,22159900
21/02/2024,17700.0,17800.0,17300.0,17350.0,-200.0,-1.14,30965300
20/02/2024,17550.0,17650.0,17300.0,17550.0,0.0,0.0,36292700
19/02/2024,17700.0,17800.0,17400.0,17550.0,-150.0,-0.85,29935800
16/02/2024,17500.0,18000.0,17500.0,17700.0,200.0,1.14,35472400
15/02/2024,17500.0,17650.0,17300.0,17500.0,200.0,1.16,25946900
07/02/2024,17300.0,17450.0,17050.0,17300.0,50.0,0.29,22942400
06/02/2024,17000.0,17500.0,17000.0,17250.0,250.0,1.47,32137100
05/02/2024,17000.0,17100.0,16750.0,17000.0,0.0,0.0,13412900
