date,open,highest,lowest,close,change,change_percentage,volume
21/03/2024,68200.0,68500.0,67900.0,68400.0,400.0,0.59,4906200
20/03/2024,67800.0,68600.0,67500.0,68000.0,200.0,0.29,3546900
19/03/2024,68500.0,68500.0,67800.0,67800.0,-100.0,-0.15,3164500
18/03/2024,68800.0,69100.0,67600.0,67900.0,-900.0,-1.31,6796400
15/03/2024,70100.0,70100.0,68700.0,68800.0,-800.0,-1.15,4851100
14/03/2024,71000.0,71300.0,70300.0,70500.0,-300.0,-0.42,5445400
13/03/2024,70100.0,70900.0,70000.0,70800.0,800.0,1.14,5642600
12/03/2024,70400.0,70600.0,70000.0,70000.0,-300.0,-0.43,3844000
11/03/2024,70500.0,71300.0,70000.0,70300.0,300.0,0.43,4208400
08/03/2024,72100.0,72900.0,70000.0,70000.0,-2000.0,-2.78,7361000
07/03/2024,71700.0,72100.0,71300.0,72000.0,200.0,0.28,5067600
06/03/2024,73300.0,73500.0,71800.0,71800.0,-1200.0,-1.64,4833900
05/03/2024,72000.0,73000.0,71700.0,73000.0,1000.0,1.39,5440900
04/03/2024,71800.0,72700.0,71600.0,72000.0,500.0,0.7,5014600
01/03/2024,72100.0,72100.0,71200.0,71500.0,-500.0,-0.69,4397700
29/02/2024,72600.0,73300.0,71600.0,72000.0,-200.0,-0.28,6539800
28/02/2024,72400.0,72600.0,71500.0,72200.0,200.0,0.28,3419000
27/02/2024,71200.0,72400.0,71100.0,72000.0,1000.0,1.41,5282500
26/02/2024,71000.0,71700.0,70700.0,71000.0,0.0,0.0,3048400
23/02/2024,71800.0,72700.0,71000.0,71000.0,-600.0,-0.84,6142500
22/02/2024,71300.0,72700.0,71100.0,71600.0,300.0,0.42,4648100
21/02/2024,71500.0,71900.0,71000.0,71300.0,-200.0,-0.28,3590200
20/02/2024,71700.0,72400.0,71300.0,71500.0,-400.0,-0.56,4385700
19/02/2024,70900.0,72600.0,70700.0,71900.0,1900.0,2.71,6652800
16/02/2024,67800.0,70300.0,67500.0,70000.0,2400.0,3.55,11114600
